Approved symbol,Approved name,Accession numbers,RefSeq IDs
BTN3A2,butyrophilin subfamily 3 member A2,U90546
BTN3A3,butyrophilin subfamily 3 member A3,U90548,NM_006994
BTNL2,butyrophilin like 2,AF186588,NM_019602
BTNL3,butyrophilin like 3,AB020625,NM_197975
BTNL8,butyrophilin like 8,AK025111,NM_024850
BTNL9,butyrophilin like 9,AK057097,NM_152547
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,Y14153,NM_033637
BUB1,BUB1 mitotic checkpoint serine/threonine kinase,AF046078,NM_004336
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,AF107297
BUB3,BUB3 mitotic checkpoint protein,AF053304
BUD13,BUD13 homolog,BC006350,NM_032725
BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor,AF420248
BUD31,BUD31 homolog,BC022821,NM_003910
BVES,blood vessel epicardial substance,AF124512,NM_147147
BYSL,bystin like,L36720
BZW1,basic leucine zipper and W2 domains 1,D13630,NM_014670
BZW2,basic leucine zipper and W2 domains 2,AF083246,NM_014038
C1D,C1D nuclear receptor corepressor,,NM_006333
C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",AF155582,NM_020156
C1GALT1C1,C1GALT1 specific chaperone 1,AJ238398,NM_152692
C1GALT1C1L,C1GALT1 specific chaperone 1 like,,NM_001101330
C1orf5,chromosome 1 open reading frame 5
C1orf20,chromosome 1 open reading frame 20
C1orf21,chromosome 1 open reading frame 21,AF312864,NM_030806
C1orf35,chromosome 1 open reading frame 35,AY137773,NM_024319
C1orf43,chromosome 1 open reading frame 43,AF077036,NM_015449
C1orf50,chromosome 1 open reading frame 50,BC001711,NM_024097
C1orf52,chromosome 1 open reading frame 52,BC029538,NM_198077
C1orf53,chromosome 1 open reading frame 53,BC038214,NM_001024594
C1orf54,chromosome 1 open reading frame 54,BC017761,NM_024579
C1orf56,chromosome 1 open reading frame 56,BC002469,NM_017860
C1orf67,"symbol withdrawn, see [HGNC:2945](/data/gene-symbol-report/#!/hgnc_id/HGNC:2945)"
C1orf74,chromosome 1 open reading frame 74,AK057807,NM_152485
C1orf84,"symbol withdrawn, see [HGNC:29040](/data/gene-symbol-report/#!/hgnc_id/HGNC:29040)"
C1orf87,chromosome 1 open reading frame 87,AK124828,NM_152377
C1orf94,chromosome 1 open reading frame 94,AK123355,NM_032884
C1orf105,chromosome 1 open reading frame 105,AL035295,NM_139240
C1orf115,chromosome 1 open reading frame 115,AK024208,NM_024709
C1orf116,chromosome 1 open reading frame 116,,NM_024115
C1orf122,chromosome 1 open reading frame 122,AK127381,NM_198446
C1orf127,chromosome 1 open reading frame 127,AK094437,NM_173507
C1orf131,chromosome 1 open reading frame 131,BC062353,NM_152379
C1orf136,chromosome 1 open reading frame 136
C1orf141,chromosome 1 open reading frame 141,BC090886,NM_001013674
C1orf146,chromosome 1 open reading frame 146,,NM_001012425
C1orf159,chromosome 1 open reading frame 159,AK128434,NM_017891
C1orf162,chromosome 1 open reading frame 162,BC017973,NM_174896
C1orf167,chromosome 1 open reading frame 167,AL834308
C1orf174,chromosome 1 open reading frame 174,BC035643,NM_207356
C1orf178,"symbol withdrawn, see [HGNC:33624](/data/gene-symbol-report/#!/hgnc_id/HGNC:33624)"
C1orf185,chromosome 1 open reading frame 185,AK130995,NM_001136508
C1orf188,"symbol withdrawn, see [HGNC:32947](/data/gene-symbol-report/#!/hgnc_id/HGNC:32947)"
C1orf193,chromosome 1 open reading frame 193
C1orf197,chromosome 1 open reading frame 197
C1orf198,chromosome 1 open reading frame 198,BC066649,NM_032800
C1orf202,chromosome 1 open reading frame 202
C1orf210,chromosome 1 open reading frame 210,BC041633,NM_182517
C1orf215,"symbol withdrawn, see [HGNC:6510](/data/gene-symbol-report/#!/hgnc_id/HGNC:6510)"
C1orf216,chromosome 1 open reading frame 216,AK096303,NM_152374
C1orf218,"symbol withdrawn, see [HGNC:28404](/data/gene-symbol-report/#!/hgnc_id/HGNC:28404)"
C1orf222,"symbol withdrawn, see [HGNC:29368](/data/gene-symbol-report/#!/hgnc_id/HGNC:29368)"
C1orf226,chromosome 1 open reading frame 226,"AI480219, AK023199, AK125122, AL512785, BC127743",NM_001085375
C1orf232,chromosome 1 open reading frame 230
C1QA,complement C1q A chain,AF135157,NM_015991
C1QB,complement C1q B chain,X03084,NM_000491
C1QBP,complement C1q binding protein,X75913,NM_001212
C1QC,complement C1q C chain,AK057792,NM_172369
C1QL1,complement C1q like 1,AF410771,NM_006688
C1QL2,complement C1q like 2,AF525315,NM_182528
C1QL3,complement C1q like 3,,NM_001010908
C1QL4,complement C1q like 4,,NM_001008223
C1QTNF1,C1q and TNF related 1,AF329840,NM_030968
C1QTNF2,C1q and TNF related 2,AF329836
C1QTNF3,C1q and TNF related 3,AF329837,NM_030945
C1QTNF4,C1q and TNF related 4,AF329838,NM_031909
C1QTNF5,C1q and TNF related 5,AF329841,NM_015645
C1QTNF6,C1q and TNF related 6,AF329842,NM_182486
C1QTNF7,C1q and TNF related 7,AF329839
C1QTNF8,C1q and TNF related 8,AY358832,NM_207419
C1QTNF9,C1q and TNF related 9,BC040438,NM_178540
C1QTNF9B,C1q and TNF related 9B,BC110413,NM_001007537
C1QTNF12,C1q and TNF related 12,BC089443,NM_001014980
C1R,complement C1r,M14058,NM_001733
C1RL,complement C1r subcomponent like,AF178985,NM_016546
C1S,complement C1s,,NM_001734
C2,complement C2
C2CD2,C2 calcium dependent domain containing 2,AB047784,NM_015500
C2CD2L,C2CD2 like,AK025223,NM_014807
C2CD3,C2 domain containing 3 centriole elongation regulator,BC035599,NM_015531
C2CD4A,C2 calcium dependent domain containing 4A,AF504646,NM_207322
C2CD4B,C2 calcium dependent domain containing 4B,BM023530,NM_001007595
C2CD4C,C2 calcium dependent domain containing 4C,AB075837,NM_001136263
C2CD4D,C2 calcium dependent domain containing 4D,BC171843,NM_001136003
C2CD5,C2 calcium dependent domain containing 5,AB011100,NM_014802
C2CD6,C2 calcium dependent domain containing 6,AB053313,NM_152525
C2orf12,"symbol withdrawn, see [HGNC:9907](/data/gene-symbol-report/#!/hgnc_id/HGNC:9907)"
C2orf15,chromosome 2 open reading frame 15,BC021264,NM_144706
C2orf20,"symbol withdrawn, see [HGNC:888](/data/gene-symbol-report/#!/hgnc_id/HGNC:888)"
C2orf31,"symbol withdrawn, see [HGNC:4043](/data/gene-symbol-report/#!/hgnc_id/HGNC:4043)"
C2orf42,chromosome 2 open reading frame 42,AK000565,NM_017880
C2orf49,chromosome 2 open reading frame 49,BC001310,NM_024093
C2orf50,chromosome 2 open reading frame 50,AK057872,NM_182500
C2orf66,chromosome 2 open reading frame 66,,NM_213608
C2orf68,chromosome 2 open reading frame 68,,NM_001013649
C2orf69,chromosome 2 open reading frame 69,,NM_153689
C2orf72,chromosome 2 open reading frame 72,,NM_001144994
C2orf73,chromosome 2 open reading frame 73,"BC031669, AK097617",NM_001100396
C2orf74,chromosome 2 open reading frame 74,,NM_001143959
C2orf76,chromosome 2 open reading frame 76,,NM_001017927
C2orf78,chromosome 2 open reading frame 78,"AC092653, AC136006, AK125975",NM_001080474
C2orf80,chromosome 2 open reading frame 80,"AC016697, AW136505, BC035737",NM_001099334
C2orf81,chromosome 2 open reading frame 81,"AC005041, CH471053",NM_001145054
C2orf88,chromosome 2 open reading frame 88,BC005083,NM_032321
C2orf92,chromosome 2 open reading frame 92,,NM_001351368
C3,complement C3,J04763,NM_000064
C3AR1,complement C3a receptor 1,U28488,NM_004054
C3orf7,"symbol withdrawn, see [HGNC:2215](/data/gene-symbol-report/#!/hgnc_id/HGNC:2215)"
C3orf18,chromosome 3 open reading frame 18,AF188706,NM_016210
C3orf20,chromosome 3 open reading frame 20,AL136781,NM_032137
C3orf22,chromosome 3 open reading frame 22,,NM_152533
C3orf33,chromosome 3 open reading frame 33,AF115515,NM_173657
C3orf38,chromosome 3 open reading frame 38,AL832398,NM_173824
C3orf49,chromosome 3 open reading frame 49,BC015210,NM_001355236
C3orf52,chromosome 3 open reading frame 52,AY830714,NM_024616
C3orf53,chromosome 3 open reading frame 53
C3orf62,chromosome 3 open reading frame 62,AK125642,NM_198562
C3orf70,chromosome 3 open reading frame 70,,NM_001025266
C3orf73,"symbol withdrawn, see [HGNC:25692](/data/gene-symbol-report/#!/hgnc_id/HGNC:25692)"
C3orf80,chromosome 3 open reading frame 80,,NM_001168214
C3orf84,chromosome 3 open reading frame 84
C3orf85,chromosome 3 open reading frame 85,,NM_001351622
C4A,complement C4A (Chido/Rodgers blood group),"L26261, M14823, X77491, AY224378",NM_007293
C4B,complement C4B (Chido/Rodgers blood group),AF019413,NM_001002029
C4BPA,complement component 4 binding protein alpha,M31452
C4BPB,complement component 4 binding protein beta,L11245,NM_000716
C4orf3,chromosome 4 open reading frame 3,,NM_001001701
C4orf17,chromosome 4 open reading frame 17,AL136838,NM_032149
C4orf19,chromosome 4 open reading frame 19,BC037906,NM_018302
C4orf33,chromosome 4 open reading frame 33,AK091022,NM_173487
C4orf36,chromosome 4 open reading frame 36,BC016746,NM_144645
C4orf46,chromosome 4 open reading frame 46,,NM_001008393
C4orf50,chromosome 4 open reading frame 50,BC140710,NM_207405
C4orf51,chromosome 4 open reading frame 51,,NM_001080531
C4orf54,chromosome 4 open reading frame 54
C5,complement C5,M57729,NM_001735
C5AR1,complement C5a receptor 1,,NM_001736
C5AR2,complement C5a receptor 2,AB038237,NM_018485
C5orf9,chromosome 5 open reading frame 9
C5orf15,chromosome 5 open reading frame 15,AF226055,NM_020199
C5orf22,chromosome 5 open reading frame 22,AK002055,NM_018356
C5orf23,"symbol withdrawn, see [HGNC:7945](/data/gene-symbol-report/#!/hgnc_id/HGNC:7945)"
C5orf24,chromosome 5 open reading frame 24,BC053677,NM_152409
C5orf34,chromosome 5 open reading frame 34,AK056925,NM_198566
C5orf46,chromosome 5 open reading frame 46,,NM_206966
C5orf47,chromosome 5 open reading frame 47,,NM_001144954
C5orf52,chromosome 5 open reading frame 52,BG721329,NM_001145132
C5orf58,chromosome 5 open reading frame 58,BC030767,NM_001102609
C5orf60,chromosome 5 open reading frame 60,BC043435,NM_001142306
C5orf63,chromosome 5 open reading frame 63,AK126569,NM_001164478
C6,complement C6,J05024
C6orf15,chromosome 6 open reading frame 15,AB031481,NM_014070
C6orf30,"symbol withdrawn, see [HGNC:14129](/data/gene-symbol-report/#!/hgnc_id/HGNC:14129)"
C6orf36,chromosome 6 open reading frame 36
C6orf44,"symbol withdrawn, see [HGNC:21582](/data/gene-symbol-report/#!/hgnc_id/HGNC:21582)"
C6orf47,chromosome 6 open reading frame 47,AF129756,NM_021184
C6orf50,chromosome 6 open reading frame 50
C6orf52,chromosome 6 open reading frame 52,BC016820,NM_001145020
C6orf58,chromosome 6 open reading frame 58,BC062712,NM_001010905
C6orf61,"symbol withdrawn, see [HGNC:21484](/data/gene-symbol-report/#!/hgnc_id/HGNC:21484)"
C6orf62,chromosome 6 open reading frame 62,AL136632,NM_030939
C6orf89,chromosome 6 open reading frame 89,AK058086,NM_152734
C6orf91,"symbol withdrawn, see [HGNC:21118](/data/gene-symbol-report/#!/hgnc_id/HGNC:21118)"
C6orf92,"symbol withdrawn, see [HGNC:21213](/data/gene-symbol-report/#!/hgnc_id/HGNC:21213)"
C6orf98,"symbol withdrawn, see [HGNC:17089](/data/gene-symbol-report/#!/hgnc_id/HGNC:17089)"
C6orf102,"symbol withdrawn, see [HGNC:21202](/data/gene-symbol-report/#!/hgnc_id/HGNC:21202)"
C6orf114,"symbol withdrawn, see [HGNC:21096](/data/gene-symbol-report/#!/hgnc_id/HGNC:21096)"
C6orf118,chromosome 6 open reading frame 118,,NM_144980
C6orf120,chromosome 6 open reading frame 120,AF055030,NM_001029863
C6orf131,"symbol withdrawn, see [HGNC:4678](/data/gene-symbol-report/#!/hgnc_id/HGNC:4678)"
C6orf132,chromosome 6 open reading frame 132,,NM_001164446
C6orf136,chromosome 6 open reading frame 136,BC016167,NM_145029
C6orf141,chromosome 6 open reading frame 141,AK054918,NM_153344
C6orf144,"symbol withdrawn, see [HGNC:32789](/data/gene-symbol-report/#!/hgnc_id/HGNC:32789)"
C6orf152,"symbol withdrawn, see [HGNC:31923](/data/gene-symbol-report/#!/hgnc_id/HGNC:31923)"
C6orf163,chromosome 6 open reading frame 163,AK092941,NM_001010868
C6orf171,"symbol withdrawn, see [HGNC:21485](/data/gene-symbol-report/#!/hgnc_id/HGNC:21485)"
C6orf178,"symbol withdrawn, see [HGNC:21555](/data/gene-symbol-report/#!/hgnc_id/HGNC:21555)"
C6orf179,"symbol withdrawn, see [HGNC:21555](/data/gene-symbol-report/#!/hgnc_id/HGNC:21555)"
C6orf180,"symbol withdrawn, see [HGNC:21555](/data/gene-symbol-report/#!/hgnc_id/HGNC:21555)"
C6orf184,"symbol withdrawn, see [HGNC:21565](/data/gene-symbol-report/#!/hgnc_id/HGNC:21565)"
C6orf187,"symbol withdrawn, see [HGNC:33391](/data/gene-symbol-report/#!/hgnc_id/HGNC:33391)"
C6orf202,chromosome 6 open reading frame 202
C6orf207,"symbol withdrawn, see [HGNC:21569](/data/gene-symbol-report/#!/hgnc_id/HGNC:21569)"
C6orf212,"symbol withdrawn, see [HGNC:23046](/data/gene-symbol-report/#!/hgnc_id/HGNC:23046)"
C6orf215,chromosome 6 open reading frame 215
C6orf224,"symbol withdrawn, see [HGNC:33814](/data/gene-symbol-report/#!/hgnc_id/HGNC:33814)"
C6orf226,chromosome 6 open reading frame 226,"BC051007, BC060325",NM_001008739
C7,complement C7,J03507
C7orf8,"symbol withdrawn, see [HGNC:15679](/data/gene-symbol-report/#!/hgnc_id/HGNC:15679)"
C7orf25,chromosome 7 open reading frame 25,BC001845,NM_024054
C7orf33,chromosome 7 open reading frame 33,BC021251,NM_145304
C7orf50,chromosome 7 open reading frame 50,BC006224,NM_032350
C7orf57,chromosome 7 open reading frame 57,BC031107,NM_001100159
C7orf76,"symbol withdrawn, see [HGNC:10845](/data/gene-symbol-report/#!/hgnc_id/HGNC:10845)"
C7orf78,chromosome 7 open reading frame 78
C8A,complement C8 alpha chain,M16974,NM_000562
C8B,complement C8 beta chain,M16973
C8G,complement C8 gamma chain,X06465
C8orf6,chromosome 8 open reading frame 6
C8orf15,chromosome 8 open reading frame 15
C8orf16,chromosome 8 open reading frame 16
C8orf33,chromosome 8 open reading frame 33,,NM_023080
C8orf34,chromosome 8 open reading frame 34,AB056652,NM_052958
C8orf48,chromosome 8 open reading frame 48,AK058131,NM_001007090
C8orf57,"symbol withdrawn, see [HGNC:7162](/data/gene-symbol-report/#!/hgnc_id/HGNC:7162)"
C8orf58,chromosome 8 open reading frame 58,BC012750,NM_001013842
C8orf61,"symbol withdrawn, see [HGNC:2079](/data/gene-symbol-report/#!/hgnc_id/HGNC:2079)"
C8orf74,chromosome 8 open reading frame 74,BC038534,NM_001040032
C8orf76,chromosome 8 open reading frame 76,AK027731,NM_032847
C8orf82,chromosome 8 open reading frame 82,,NM_001001795
C8orf88,chromosome 8 open reading frame 88
C8orf89,chromosome 8 open reading frame 89,,NM_001243237
C8orf90,chromosome 8 open reading frame 90
C9,complement C9
C9orf33,chromosome 9 open reading frame 33
C9orf35,"symbol withdrawn, see [HGNC:23825](/data/gene-symbol-report/#!/hgnc_id/HGNC:23825)"
C9orf38,chromosome 9 open reading frame 38
C9orf40,chromosome 9 open reading frame 40,AK000972,NM_017998
C9orf43,chromosome 9 open reading frame 43,BC026884,NM_152786
C9orf47,"symbol withdrawn, see [HGNC:3167](/data/gene-symbol-report/#!/hgnc_id/HGNC:3167)"
C9orf48,"symbol withdrawn, see [HGNC:19916](/data/gene-symbol-report/#!/hgnc_id/HGNC:19916)"
C9orf50,chromosome 9 open reading frame 50,AK093122,NM_199350
C9orf55B,"symbol withdrawn, see [HGNC:26079](/data/gene-symbol-report/#!/hgnc_id/HGNC:26079)"
C9orf56,chromosome 9 open reading frame 56
C9orf57,chromosome 9 open reading frame 57,BC036255,NM_001128618
C9orf63,chromosome 9 open reading frame 63
C9orf72,C9orf72-SMCR8 complex subunit,AL832467,NM_018325
C9orf78,chromosome 9 open reading frame 78,BC017570,NM_016520
C9orf85,chromosome 9 open reading frame 85,BC010179,NM_182505
C9orf94,"symbol withdrawn, see [HGNC:14632](/data/gene-symbol-report/#!/hgnc_id/HGNC:14632)"
C9orf99,"symbol withdrawn, see [HGNC:18572](/data/gene-symbol-report/#!/hgnc_id/HGNC:18572)"
C9orf101,"symbol withdrawn, see [HGNC:23432](/data/gene-symbol-report/#!/hgnc_id/HGNC:23432)"
C9orf108,"symbol withdrawn, see [HGNC:23669](/data/gene-symbol-report/#!/hgnc_id/HGNC:23669)"
C9orf113,"symbol withdrawn, see [HGNC:17841](/data/gene-symbol-report/#!/hgnc_id/HGNC:17841)"
C9orf149,chromosome 9 open reading frame 149
C9orf151,"symbol withdrawn, see [HGNC:33879](/data/gene-symbol-report/#!/hgnc_id/HGNC:33879)"
C9orf152,chromosome 9 open reading frame 152,BX648620,NM_001012993
C9orf153,chromosome 9 open reading frame 153,,NM_001010907
C9orf155,"symbol withdrawn, see [HGNC:15451](/data/gene-symbol-report/#!/hgnc_id/HGNC:15451)"
C9orf164,"symbol withdrawn, see [HGNC:10732](/data/gene-symbol-report/#!/hgnc_id/HGNC:10732)"
C10orf12,"symbol withdrawn, see [HGNC:29503](/data/gene-symbol-report/#!/hgnc_id/HGNC:29503)"
C10orf14,"symbol withdrawn, see [HGNC:23523](/data/gene-symbol-report/#!/hgnc_id/HGNC:23523)"
C10orf43,"symbol withdrawn, see [HGNC:23591](/data/gene-symbol-report/#!/hgnc_id/HGNC:23591)"
C10orf53,chromosome 10 open reading frame 53,BC028127,NM_182554
C10orf62,chromosome 10 open reading frame 62,,NM_001009997
C10orf64,"symbol withdrawn, see [HGNC:29323](/data/gene-symbol-report/#!/hgnc_id/HGNC:29323)"
C10orf67,chromosome 10 open reading frame 67,BC035732,NM_153714
C10orf68,"symbol withdrawn, see [HGNC:26533](/data/gene-symbol-report/#!/hgnc_id/HGNC:26533)"
C10orf71,chromosome 10 open reading frame 71,AL833265,NM_199459
C10orf88,chromosome 10 open reading frame 88,AK023552,NM_024942
C10orf90,chromosome 10 open reading frame 90,BC034828,NM_001004298
C10orf93,"symbol withdrawn, see [HGNC:25247](/data/gene-symbol-report/#!/hgnc_id/HGNC:25247)"
C10orf95,chromosome 10 open reading frame 95,AK024342,NM_024886
C10orf102,"symbol withdrawn, see [HGNC:4338](/data/gene-symbol-report/#!/hgnc_id/HGNC:4338)"
C10orf105,chromosome 10 open reading frame 105,AK074172,NM_001164375
C10orf113,"symbol withdrawn, see [HGNC:16932](/data/gene-symbol-report/#!/hgnc_id/HGNC:16932)"
C10orf120,chromosome 10 open reading frame 120,,NM_001010912
C10orf123,"symbol withdrawn, see [HGNC:25247](/data/gene-symbol-report/#!/hgnc_id/HGNC:25247)"
C10orf124,"symbol withdrawn, see [HGNC:25247](/data/gene-symbol-report/#!/hgnc_id/HGNC:25247)"
C10orf126,chromosome 10 open reading frame 126,BC033839,NM_001278522
C10orf131,"symbol withdrawn, see [HGNC:31666](/data/gene-symbol-report/#!/hgnc_id/HGNC:31666)"
C10orf133,"symbol withdrawn, see [HGNC:31668](/data/gene-symbol-report/#!/hgnc_id/HGNC:31668)"
C10orf138,"symbol withdrawn, see [HGNC:33787](/data/gene-symbol-report/#!/hgnc_id/HGNC:33787)"
C10orf143,chromosome 10 open reading frame 143,,NM_001355042
C11orf3,"symbol withdrawn, see [HGNC:1172](/data/gene-symbol-report/#!/hgnc_id/HGNC:1172)"
C11orf16,chromosome 11 open reading frame 16,AJ400877,NM_020643
C11orf21,chromosome 11 open reading frame 21,AB029488,NM_001142946
C11orf24,chromosome 11 open reading frame 24,AF264781,NM_022338
C11orf26,chromosome 11 open reading frame 26
C11orf29,"symbol withdrawn, see [HGNC:29005](/data/gene-symbol-report/#!/hgnc_id/HGNC:29005)"
C11orf32,"symbol withdrawn, see [HGNC:11185](/data/gene-symbol-report/#!/hgnc_id/HGNC:11185)"
C11orf42,chromosome 11 open reading frame 42,BC031612,NM_173525
C11orf43,"symbol withdrawn, see [HGNC:5466](/data/gene-symbol-report/#!/hgnc_id/HGNC:5466)"
C11orf47,"symbol withdrawn, see [HGNC:26532](/data/gene-symbol-report/#!/hgnc_id/HGNC:26532)"
C11orf52,chromosome 11 open reading frame 52,AK057948,NM_080659
C11orf54,chromosome 11 open reading frame 54,AF092133,NM_014039
C11orf58,chromosome 11 open reading frame 58,BC007103,NM_014267
C11orf65,chromosome 11 open reading frame 65,BC059411,NM_152587
C11orf68,chromosome 11 open reading frame 68,AF073483,NM_031450
C11orf69,"symbol withdrawn, see [HGNC:24836](/data/gene-symbol-report/#!/hgnc_id/HGNC:24836)"
C11orf71,chromosome 11 open reading frame 71,BC071695,NM_019021
C11orf81,"symbol withdrawn, see [HGNC:3074](/data/gene-symbol-report/#!/hgnc_id/HGNC:3074)"
C11orf86,chromosome 11 open reading frame 86,"AK026328, AP003176",NM_001136485
C11orf87,chromosome 11 open reading frame 87,"AB096240, BC035798",NM_207645
C11orf91,chromosome 11 open reading frame 91,AL049629,NM_001166692
C11orf96,chromosome 11 open reading frame 96,,NM_001145033
C11orf97,chromosome 11 open reading frame 97
C11orf98,chromosome 11 open reading frame 98,,NM_001286086
C12orf15,"symbol withdrawn, see [HGNC:26316](/data/gene-symbol-report/#!/hgnc_id/HGNC:26316)"
C12orf42,chromosome 12 open reading frame 42,AK058052,NM_198521
C12orf43,chromosome 12 open reading frame 43,AK022510,NM_022895
C12orf50,chromosome 12 open reading frame 50,AK093140,NM_152589
C12orf54,chromosome 12 open reading frame 54,BC031670,NM_152319
C12orf56,chromosome 12 open reading frame 56,,NM_001099676
C12orf57,chromosome 12 open reading frame 57,U47924,NM_138425
C12orf60,chromosome 12 open reading frame 60,BC038836,NM_175874
C12orf63,"symbol withdrawn, see [HGNC:26456](/data/gene-symbol-report/#!/hgnc_id/HGNC:26456)"
C12orf71,chromosome 12 open reading frame 71,,NM_001080406
C12orf74,"symbol withdrawn, see [HGNC:33829](/data/gene-symbol-report/#!/hgnc_id/HGNC:33829)"
C12orf75,chromosome 12 open reading frame 75,AK056999,NM_001145199
C12orf76,chromosome 12 open reading frame 76,BC041968,NM_207435
C13orf41,chromosome 13 open reading frame 41
C13orf42,chromosome 13 open reading frame 42,,NM_001351589
C13orf46,chromosome 13 open reading frame 46
C14orf7,chromosome 14 open reading frame 7
C14orf16,chromosome 14 open reading frame 16
C14orf28,chromosome 14 open reading frame 28,AA496212,NM_001017923
C14orf39,chromosome 14 open reading frame 39,AK098187,NM_174978
C14orf40,chromosome 14 open reading frame 40
C14orf41,"symbol withdrawn, see [HGNC:8060](/data/gene-symbol-report/#!/hgnc_id/HGNC:8060)"
C14orf42,"symbol withdrawn, see [HGNC:33159](/data/gene-symbol-report/#!/hgnc_id/HGNC:33159)"
C14orf51,"symbol withdrawn, see [HGNC:13112](/data/gene-symbol-report/#!/hgnc_id/HGNC:13112)"
C14orf57,chromosome 14 open reading frame 57
C14orf60,"symbol withdrawn, see [HGNC:8010](/data/gene-symbol-report/#!/hgnc_id/HGNC:8010)"
C14orf61,"symbol withdrawn, see [HGNC:20359](/data/gene-symbol-report/#!/hgnc_id/HGNC:20359)"
C14orf62,"symbol withdrawn, see [HGNC:27510](/data/gene-symbol-report/#!/hgnc_id/HGNC:27510)"
C14orf65,chromosome 14 open reading frame 65
C14orf67,"symbol withdrawn, see [HGNC:21064](/data/gene-symbol-report/#!/hgnc_id/HGNC:21064)"
C14orf77,"symbol withdrawn, see [HGNC:33795](/data/gene-symbol-report/#!/hgnc_id/HGNC:33795)"
C14orf88,"symbol withdrawn, see [HGNC:20346](/data/gene-symbol-report/#!/hgnc_id/HGNC:20346)"
C14orf93,chromosome 14 open reading frame 93,AK023026,NM_021944
C14orf96,"symbol withdrawn, see [HGNC:213](/data/gene-symbol-report/#!/hgnc_id/HGNC:213)"
C14orf113,chromosome 14 open reading frame 113
C14orf116,"symbol withdrawn, see [HGNC:1928](/data/gene-symbol-report/#!/hgnc_id/HGNC:1928)"
C14orf117,"symbol withdrawn, see [HGNC:19853](/data/gene-symbol-report/#!/hgnc_id/HGNC:19853)"
C14orf119,chromosome 14 open reading frame 119,,NM_017924
C14orf132,chromosome 14 open reading frame 132,AL390130,NM_001252507
C14orf136,chromosome 14 open reading frame 136
C14orf141,"symbol withdrawn, see [HGNC:6715](/data/gene-symbol-report/#!/hgnc_id/HGNC:6715)"
C14orf151,"symbol withdrawn, see [HGNC:23791](/data/gene-symbol-report/#!/hgnc_id/HGNC:23791)"
C14orf157,chromosome 14 open reading frame 157
C14orf178,chromosome 14 open reading frame 178,AK098842,NM_174943
C14orf180,chromosome 14 open reading frame 180,,NM_001008404
C14orf184,chromosome 14 open reading frame 184
C15orf31,chromosome 15 open reading frame 31
C15orf39,chromosome 15 open reading frame 39,AK128205,NM_015492
C15orf40,chromosome 15 open reading frame 40,BC019820,NM_144597
C15orf48,chromosome 15 open reading frame 48,,NM_032413
C15orf49,chromosome 15 open reading frame 49
C15orf51,"symbol withdrawn, see [HGNC:35199](/data/gene-symbol-report/#!/hgnc_id/HGNC:35199)"
C15orf61,chromosome 15 open reading frame 61,,NM_001143936
C15orf62,chromosome 15 open reading frame 62,,NM_001130448
C16orf28,"symbol withdrawn, see [HGNC:14184](/data/gene-symbol-report/#!/hgnc_id/HGNC:14184)"
C16orf43,chromosome 16 open reading frame 43
C16orf46,chromosome 16 open reading frame 46,BC064143,NM_152337
C16orf54,chromosome 16 open reading frame 54,AK093000,NM_175900
C16orf74,chromosome 16 open reading frame 74,BC009078,NM_206967
C16orf78,chromosome 16 open reading frame 78,BC021181,NM_144602
C16orf82,chromosome 16 open reading frame 82,BC031257,NM_001145545
C16orf86,chromosome 16 open reading frame 86,,NM_001012984
C16orf87,chromosome 16 open reading frame 87,,NM_001001436
C16orf89,chromosome 16 open reading frame 89,,NM_152459
C16orf90,chromosome 16 open reading frame 90,,NM_001080524
C16orf92,chromosome 16 open reading frame 92,AK058133,NM_001109659
C16orf95,chromosome 16 open reading frame 95,,NM_001195124
C16orf96,chromosome 16 open reading frame 96,,NM_001145011
C17orf11,chromosome 17 open reading frame 11
C17orf33,"symbol withdrawn, see [HGNC:2438](/data/gene-symbol-report/#!/hgnc_id/HGNC:2438)"
C17orf47,"symbol withdrawn, see [HGNC:9165](/data/gene-symbol-report/#!/hgnc_id/HGNC:9165)"
C17orf49,chromosome 17 open reading frame 49,AK055800,NM_174893
C17orf50,chromosome 17 open reading frame 50,BC021727,NM_145272
C17orf58,chromosome 17 open reading frame 58,AK026583,NM_001382359
C17orf67,chromosome 17 open reading frame 67,BC041467,NM_001085430
C17orf75,chromosome 17 open reading frame 75,AB062437,NM_022344
C17orf78,chromosome 17 open reading frame 78,BC034672,NM_173625
C17orf84,chromosome 17 open reading frame 84
C17orf99,chromosome 17 open reading frame 99,AY358510,NM_001163075
C17orf100,chromosome 17 open reading frame 100,"BC028174, BC038956, BC052606",NM_001105520
C17orf107,chromosome 17 open reading frame 107,AK128415,NM_001145536
C17orf113,chromosome 17 open reading frame 113
C17orf114,chromosome 17 open reading frame 114
C18orf21,chromosome 18 open reading frame 21,BC025950,NM_031446
C18orf32,chromosome 18 open reading frame 32,AK027111,NM_001035005
C18orf41,chromosome 18 open reading frame 41
C18orf49,"symbol withdrawn, see [HGNC:22916](/data/gene-symbol-report/#!/hgnc_id/HGNC:22916)"
C18orf54,chromosome 18 open reading frame 54,AK126503,NM_173529
